17807	82	78	1
17873	90	5	1
17888	85	75	1
17889	85	75	1
17947	96	78	0
18004	91	72	0
18054	87	64	1
18063	96	84	0
18099	102	87	0
18138	99	77	1
18148	91	10	0
18181	90	91	0
18213	85	78	1
18222	87	91	0
18316	91	12	0
18330	87	75	1
18340	84	76	1
18342	91	28	0
18380	88	78	1
18540	93	65	1
18554	90	72	1
18555	91	17	0
18606	102	81	1
18613	83	92	0
18625	83	93	0
18705	89	94	0
18726	82	92	0
18823	89	73	1
18825	82	87	0
18837	82	84	0
18867	101	80	1
18868	101	80	1
18919	90	83	0
19016	90	81	0
19055	94	95	0
19062	92	70	1
19103	89	78	1
19142	90	89	0
19152	94	79	0
19194	94	80	1
19212	91	9	0
19216	83	82	0
19235	88	75	0
19240	100	78	1
19243	87	73	1
19257	95	82	1
19299	84	78	0
19387	95	84	0
19391	82	91	0
19397	90	94	0
19454	98	93	0
19503	98	92	0
19704	89	86	0
19737	89	92	0
19788	81	80	1
19818	95	77	0
19828	94	74	1
19841	87	77	0
20034	91	78	0
20041	96	94	0
20052	83	77	1
20057	80	82	1
20076	80	81	1
20163	98	75	1
20200	93	86	0
20201	80	79	1
20263	96	84	0
20319	96	73	1
20320	91	88	0
20333	88	74	1
20392	88	90	0
20431	98	74	1
20454	92	80	1
20493	94	90	0
20568	99	92	0
20590	87	91	0
20639	97	71	1
20648	99	81	0
20652	87	78	1
20655	85	94	0
20657	82	78	1
20699	85	89	0
20785	87	92	0
20787	102	83	1
20788	102	83	1
20790	93	74	1
20810	96	75	1
20866	92	72	1
20868	89	96	0
20946	88	91	0
20950	89	87	0
20960	92	83	0
21008	92	76	0
21031	63	54	0
21046	95	90	0
21072	84	76	1
21137	45	30	0
21155	86	76	1
21170	87	74	1
21186	94	86	0
21188	90	91	0
21194	84	79	0
21199	83	75	1
21200	90	96	0
21205	99	80	0
21206	87	77	0
21274	83	86	0
21292	90	74	1
21318	83	93	0
21384	84	91	0
21450	90	78	1
21552	96	92	0
21553	100	90	0
21568	95	92	0
21569	91	90	0
21631	91	18	0
21632	100	79	1
21654	96	79	1
21703	86	86	0
21712	83	85	0
21717	83	87	0
21726	89	74	1
21727	89	74	1
21738	80	87	1
21770	91	83	0
21842	101	81	1
21856	95	77	0
21920	85	75	1
21922	81	79	1
21934	87	93	0
21973	89	73	1
21981	86	74	1
22018	80	89	0
22028	82	79	1
22125	98	76	1
22202	91	78	0
22255	87	81	0
22323	95	88	0
22326	81	80	1
22348	95	74	1
22357	96	93	0
22362	92	71	1
22441	99	91	0
22462	97	94	0
22474	90	68	1
22474	98	83	0
22505	88	77	0
22511	89	79	1
22522	91	74	1
22523	95	67	1
22552	92	74	1
22599	92	77	1
22602	99	69	1
22610	101	88	0
22613	90	71	1
22666	99	84	0
22684	90	95	0
22695	99	80	0
22714	99	77	1
22733	89	83	0
22820	97	75	1
22827	99	78	1
22835	86	95	0
22841	88	69	1
22908	83	77	1
22912	87	95	0
22945	86	75	1
22995	91	84	0
22998	96	74	1
22999	96	74	1
23009	87	77	0
23021	87	82	0
23025	92	92	0
23047	84	74	1
23093	97	74	1
23153	80	83	1
23154	80	83	1
23212	86	82	0
23218	89	95	0
23237	97	82	0
23283	91	89	0
23291	88	94	0
23292	84	76	1
23299	100	75	1
23306	90	9	1
23410	96	75	1
23483	90	91	0
23485	93	82	0
23538	92	78	0
23546	94	74	1
23627	96	83	1
23633	84	94	0
23638	87	72	1
23642	92	84	0
23715	82	92	0
23721	80	82	1
23724	98	93	0
23735	83	88	0
23800	82	91	0
23855	93	77	0
23890	93	92	0
23899	94	94	0
23916	97	79	0
23922	84	93	0
24002	101	89	0
24011	87	81	0
24052	83	93	0
24085	94	77	0
24128	97	83	1
24186	95	95	0
24197	88	91	0
24239	84	91	0
24380	85	77	0
24571	92	95	0
24617	95	81	1
24634	99	72	1
24653	83	76	1
24732	94	69	1
24918	82	78	1
24919	82	78	1
24925	97	92	0
24944	93	74	1
24990	94	73	1
25001	82	70	1
25007	89	78	0
25017	88	93	0
25027	88	83	0
25066	87	95	0
25089	90	15	1
25090	88	74	1
25104	97	76	1
25138	95	80	0
25156	81	81	1
25179	81	80	1
25229	90	73	1
25231	87	81	0
25242	87	93	0
25285	99	92	0
25371	78	80	1
25373	78	80	1
25412	85	76	1
25472	99	87	1
25519	98	86	1
25535	82	84	0
25544	89	88	0
25554	100	91	0
25625	94	90	0
25628	89	58	1
25630	91	96	0
25765	98	85	0
25880	86	95	0
25944	15	50	0
25968	81	91	0
25984	92	96	0
26021	89	96	0
26039	83	83	0
26085	87	74	1
26086	80	84	1
26087	80	84	1
26127	93	95	0
26195	82	79	1
26207	90	74	1
26213	85	72	1
26219	98	80	0
26235	98	77	1
26256	80	73	1
26266	93	86	0
26308	88	89	0
26364	96	89	0
26366	93	92	0
26371	96	81	0
26403	86	75	1
26422	90	8	1
26526	89	78	0
26537	90	72	1
26539	87	91	0
26606	95	75	1
26607	95	75	1
26608	95	75	1
26737	90	96	0
26754	83	84	0
26761	84	77	1
26767	90	77	0
26782	83	77	1
26854	84	76	1
26892	80	85	1
26894	80	85	1
26895	91	80	1
26916	90	79	1
26923	97	82	0
26924	101	77	1
27012	97	94	0
27120	91	78	0
27215	91	95	0
27283	88	73	1
27285	92	74	1
